time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
2794.7394268435805,23289.495223696504,8.333333333333332,352354.10752843297,5360.927961718991,0.0,-3315.624180435297,0.5784542973850682,0.00013541666666666652,51325.81820621864,12.808653477778673,0.4949368150242269,7441.332280257566,180.41248453081272
3246.063648804178,27050.530406701477,8.333333333333332,437399.47795722843,5496.745081101575,0.0,-3394.853563452431,0.6395711191088989,0.0001354166666666666,51134.9872994554,10.112799170293442,0.6109687625582234,7432.795799744441,196.3874781476862
3388.9062219445723,28240.885182871432,8.333333333333337,465802.1633669517,5533.289504587653,0.0,-3416.3210178220593,0.6589143842216607,0.00013541666666666677,51073.67327381806,9.259764318362954,0.6516631783174,7429.007026865457,201.3103653791
3388.9062219445723,28240.885182871432,8.333333333333337,465802.1633669517,5533.289504587653,0.0,-3416.3210178220593,0.6589143842216607,0.00013541666666666677,51073.67327381806,9.259764318362954,0.6516631783174,7429.007026865457,201.3103653791
3549.067530539821,29575.562754498507,8.333333333333334,498478.68902790896,5568.215004149245,0.0,-3437.55776265387,0.6806028947606007,0.00013541666666666655,51004.52346470151,8.244728629628705,0.7025640090385455,7421.318700920283,206.75274127059586
3770.057447015837,31417.14539179864,8.333333333333337,544983.285512071,5614.318679143699,0.0,-3472.501067713997,0.7105286126167278,0.0001354166666666667,50908.33590141662,6.985278012203196,0.7717732799121232,7412.698573539072,214.12710705262467
3840.0,32000.0,8.333333333333336,560039.406389608,5630.453229509922,0.0,-3484.71185558004,0.72,0.00013541666666666685,50877.679837096766,6.597316425976234,0.7944224888340911,7412.414118094712,216.42809923352345
3840.0,32000.0,0.16424792587983691,560039.406389608,5630.453229509922,0.0,-2762.3496020212406,0.72,5.470554871761513e-20,50877.679837096766,6.597316425976234,0.5739063373307449,5656.39877033009,216.42809923352345
4347.874591291469,32083.417348226692,0.16424792587983691,669937.5984180709,5611.68313990779,0.0,-2752.491117326526,0.7200000000000002,9.117591452935854e-20,50701.229532668454,6.587925267520869,0.5742268547116559,5637.548175777758,216.34879352671084
5048.637868603519,32198.51626305795,0.16424792587983422,821508.5299962974,5585.878546508342,0.0,-2738.9248916221973,0.72,2.7352774358807564e-20,50458.79841304762,6.5745762482095085,0.5746851272692626,5611.6329384974,216.23932112574042
5270.42704991249,32234.944676070536,0.1642479258798328,869464.2273231171,5577.734146326679,0.0,-2734.6399728400847,0.7200000000000001,-1.0257290384552835e-20,50382.31912786135,6.570256387596486,0.5748340671340307,5603.453625189089,216.2046621886785
5270.42704991249,32234.944676070536,0.1642479258798328,869464.2273231171,5577.734146326679,0.0,-2734.6399728400847,0.7200000000000001,-1.0257290384552835e-20,50382.31912786135,6.570256387596486,0.5748340671340307,5603.453625189089,216.2046621886785
6307.651319794753,32405.306611070922,0.16424792587983272,1093632.856889411,5539.790896056334,0.0,-2714.6568258549664,0.72,1.8235182905871708e-20,50026.24111612428,6.5494414255279825,0.5755559004149046,5565.347769869337,216.0425032260492
7738.809111764611,32640.371310008733,0.16424792587983333,1402663.5393934164,5487.830705323098,0.0,-2687.23504189654,0.7200000000000001,1.8235182905871708e-20,49539.20148071844,6.519038849841841,0.5766219134466929,5513.165025558215,215.81856126335057
8191.765659691143,32714.768483519354,0.16424792587983333,1500403.9053322095,5471.480974100714,0.0,-2678.592567969091,0.7200000000000001,0.0,49386.08347375062,6.509003550509639,0.576976649665703,5496.745292267458,215.74763702220866
8191.765659691143,32714.768483519354,0.16424792587983333,1500403.9053322095,5471.480974100714,0.0,-2678.592567969091,0.7200000000000001,0.0,49386.08347375062,6.509003550509639,0.576976649665703,5496.745292267458,215.74763702220866
9424.922692903194,32917.31196850857,0.1642479258798321,1766335.5060052027,5427.203060046745,0.0,-2655.152433342312,0.7200000000000002,-3.6470365811743415e-20,48971.71936353194,6.48065928225203,0.5779858188915047,5452.277857195202,215.55443277847962
11126.427707825553,33196.78063808369,0.1642479258798321,2132875.4576563686,5366.668103460173,0.0,-2623.0209310492205,0.72,-5.470554871761513e-20,48405.94043171894,6.439054056294138,0.5794851111924828,5391.4839288377025,215.28757184951039
11664.948227479861,33285.23151648064,0.1642479258798321,2248789.4710486163,5347.64061326505,0.0,-2612.900673134794,0.72,-3.6470365811743415e-20,48228.30547215656,6.42528017959874,0.5799856797236296,5372.375083399217,215.20304382561085
11664.948227479861,33285.23151648064,0.1642479258798321,2248789.4710486163,5347.64061326505,0.0,-2612.900673134794,0.72,-3.6470365811743415e-20,48228.30547215656,6.42528017959874,0.5799856797236296,5372.375083399217,215.20304382561085
12702.172497362124,33455.59345148103,0.16424792587983272,2471918.814644679,5311.170085701972,0.0,-2593.4744525282495,0.72,-3.6470365811743415e-20,47888.100885681226,6.397918232996892,0.5809859250812662,5335.748682116322,215.04014594527843
14133.330289331981,33690.658150418836,0.16424792587983422,2779514.2345169396,5261.233604426162,0.0,-2566.812703976007,0.7199999999999999,-2.051458076910567e-20,47422.84452860803,6.358335655379412,0.5824462292976458,5285.598896880548,214.81518167649784
14586.286837258514,33765.05532392946,0.1642479258798366,2876800.039672604,5245.522342225855,0.0,-2558.408706567406,0.7199999999999999,7.066133376025287e-20,47276.59240200913,6.34535923512108,0.5829282855034172,5269.820550953953,214.74393321216584
14586.286837258514,33765.05532392946,0.1642479258798366,2876800.039672604,5245.522342225855,0.0,-2558.408706567406,0.7199999999999999,7.066133376025287e-20,47276.59240200913,6.34535923512108,0.5829282855034172,5269.820550953953,214.74393321216584
15094.161428549982,33848.47267215616,0.16424792587983453,2985842.7320076674,5227.959800684814,0.0,-2549.005390293623,0.72,-3.6470365811743415e-20,47113.17793290696,6.330549704482282,0.583480396472464,5252.183035320674,214.66401881514506
15794.924705862031,33963.57158698741,0.16424792587983453,3136232.7407177486,5203.820326766868,0.0,-2536.0647287775155,0.72,3.6470365811743415e-20,46888.6858838837,6.309660690216258,0.5842626472720125,5227.9405336410955,214.55370543704706
16016.713887171003,34000.0,0.16424792587983572,3183814.5571671315,5196.202834926309,0.0,-2531.9772570536716,0.72,1.2764628034110196e-19,46817.87276049458,6.302938670574866,0.5845152311500906,5220.2905354593495,214.5187800652524
16016.713887171003,34000.0,-16.559044947312568,3183814.5571671315,5196.202834926309,0.0,-1371.2582155218868,0.72,-0.00017794794570246287,46817.87276049458,6.302938670574866,0.1687955348847178,2209.72166449222,214.5187800652524
16101.093184844438,32602.759417202917,-16.559044947312554,3201777.3314878047,5215.671074853113,0.0,-1376.5196815268669,0.7049848773191956,-0.0001779479457024627,46803.26389798417,7.306026537728646,0.14704235986063088,2190.283808507256,211.35290812525812
16217.519393575545,30674.852593779327,-16.559044947312575,3226118.084292092,5242.635335039586,0.0,-1379.6889347947056,0.6842670726495689,-0.0001779479457024633,46783.04205960316,8.673346098785737,0.12027789388341327,2160.5553568670293,206.88067905542727
16254.367890569318,30064.67667581854,-16.559044947312586,3233712.545255739,5249.90930092371,0.0,-1379.2115340129865,0.6777099583073037,-0.00017794794570246347,46776.63617658768,9.09867325129678,0.1124038853421181,2149.1156204116082,205.44035420521385
16254.367890569318,30064.67667581854,-16.559044947312586,3233712.545255739,5249.90930092371,0.0,-1379.2115340129865,0.6777099583073037,-0.00017794794570246347,46776.63617658768,9.09867325129678,0.1124038853421181,2149.1156204116082,205.44035420521385
16426.694399757253,27211.11426456206,-16.559044947312575,3268514.2755257622,5278.462022300571,0.0,-1341.8165793068245,0.6470448100072341,-0.0001779479457024633,46746.99421540613,11.4496282870793,0.08444799550959377,2084.7934612083786,198.54796476942104
16664.469810098613,23273.780557353733,-16.559044947312575,3314537.799722115,5289.950889366207,0.0,-1198.1873075282322,0.6047331641984283,-0.00017794794570246352,46708.67954031595,14.73473571212347,0.06653173368830737,1951.6850708660706,188.62062791374953
16739.724914500344,22027.62790105081,-16.559044947312582,3328605.62497849,5286.586971356737,0.0,-1147.280437087029,0.5913416729665163,-0.00017794794570246363,46697.630825169064,15.86554493530759,0.061197554007337236,1897.9934683322,185.3797590457909
16739.724914500344,22027.62790105081,-16.559044947312582,3328605.62497849,5286.586971356737,0.0,-1147.280437087029,0.5913416729665163,-0.00017794794570246363,46697.630825169064,15.86554493530759,0.061197554007337236,1897.9934683322,185.3797590457909
16944.604083822232,18635.024527481582,-16.55904494731259,3365649.392808034,5262.659932710659,0.0,-998.4901893569366,0.554883845668459,-0.00017794794570246374,46670.122378525986,19.067145546458793,0.047818302176145445,1724.156637852411,176.32034565941902
17227.295521056552,13953.924312098105,-16.559044947312582,3413642.082926334,5229.023595332901,0.0,-936.2012097312808,0.5045794851449349,-0.00017794794570246374,46636.15918635881,23.126469940345086,0.03990058981725295,1446.8949487190757,163.26330289389372
17316.766394398757,12472.372098949196,-16.559044947312593,3428051.9146645507,5210.411352680595,0.0,-1073.923898715367,0.48865832703348394,-0.00017794794570246395,46625.53724768632,24.13725885838179,0.04929138599763382,1340.528942478088,158.998851738275
17316.766394398757,12472.372098949196,-16.559044947312593,3428051.9146645507,5210.411352680595,0.0,-1073.923898715367,0.48865832703348394,-0.00017794794570246395,46625.53724768632,24.13725885838179,0.04929138599763382,1340.528942478088,158.998851738275
17489.09290358669,9618.809687692725,-16.55904494731259,3454717.886970881,5159.460711164794,0.0,-1195.1955537141894,0.45799317873341433,-0.0001779479457024639,46600.61652428717,26.130695126589302,0.08729769855262422,1103.527590220617,150.60981861944137
17726.868313928055,5681.475980484389,-16.55904494731258,3489096.300778161,5055.866100195388,0.0,-1102.7571119174845,0.4156815329246083,-0.00017794794570246368,46565.44207551339,27.899966500018774,0.04934099010037146,697.7371169151461,138.66141565826337
17802.123418329786,4435.323324181462,-16.559044947312575,3499378.85429231,5015.289212498014,0.0,-1068.2140456323207,0.4022900416926962,-0.0001779479457024634,46555.39813532576,28.371588507172596,0.03743600581035873,548.0623846530502,134.79094549067395
17802.123418329786,4435.323324181462,-16.559044947312575,3499378.85429231,5015.289212498014,0.0,-1068.2140456323207,0.4022900416926962,-0.0001779479457024634,46555.39813532576,28.371588507172596,0.03743600581035873,548.0623846530502,134.79094549067395
17886.50271600322,3038.0827413843745,-16.559044947312586,3510559.4784337287,4965.6577521015715,0.0,-1030.6136056341045,0.3872749190118917,-0.00017794794570246376,46544.23926844401,28.909471894847368,0.02408204090240728,367.0737201613057,130.40117072492166
18002.928924734326,1110.1759179607957,-16.55904494731258,3525373.27955907,4890.639052209521,0.0,-975.2014663789805,0.36655711434226523,-0.00017794794570246352,46529.522155242244,29.563621772061637,0.00577036215979243,92.97928310196012,124.257649356042
18039.777421728097,500.0,-16.559044947312575,3529911.9999999995,4865.47715823846,0.0,-956.9347450232433,0.36,-0.0001779479457024632,46525.0369922153,29.7393638080956,-4.3588302196990763e-10,-7.146311186620553e-06,122.29253366343002
